,ID_NIL,NIL,Pop (2019),Area MQ,Density ,Density,SumDensity,Density1
0,74,SACCO,264,708465.8006,2683.582578,0.0003726361946849351,0.0004273770816572565,0.0003726361946849351
1,82,COMASINA,9667,926734.5625,95.86578696,0.010431250102426173,0.011963618377385944,0.010431250102426173
2,75,STEPHENSON,118,560097.8929,4746.592313,0.00021067745745129547,0.0002416263321190081,0.00021067745745129547
3,66,QT 8,4166,1024437.422,245.9043259,0.004066622236297026,0.004664015917778993,0.004066622236297026
4,29,ORTOMERCATO,4304,1402519.649,325.86423080000003,0.003068762710788945,0.003519569141007581,0.003068762710788945
5,72,MAGGIORE - MUSOCCO,6217,3030188.711,487.40368509999996,0.0020516874006663143,0.0023530837483758276,0.0020516874006663143
6,18,PARCO LAMBRO - CIMIANO,19779,13722000.0,693.7661156,0.0014414079580236116,0.0016531532238797334,0.0014414079580236116
7,65,GALLARATESE,32339,3894538.207,120.42852920000001,0.008303680251967805,0.00952350491905789,0.008303680251967805
8,60,S. SIRO,12859,3435307.3710000003,267.1519847,0.0037431876135895262,0.004293068202202089,0.0037431876135895262
9,70,GHISOLFA,18140,1051452.205,57.96318661,0.017252329600659307,0.019786725985523168,0.017252329600659307
10,55,BAGGIO,29992,3478599.957,115.984261,0.008621859475288898,0.009888425208193824,0.008621859475288898
11,61,QUARTO CAGNINO,9945,986391.4824,99.18466389,0.010082203848519364,0.011563296638687916,0.010082203848519364
12,53,LORENTEGGIO,14240,2635327.1,185.0651053,0.005403503800344177,0.006197287643696385,0.005403503800344177
13,49,GIAMBELLINO,31669,1965274.2119999998,62.05671832,0.016114290721685815,0.018481507271277186,0.016114290721685815
14,45,S. CRISTOFORO,13703,1596174.139,116.4835539,0.008584902903253967,0.00984603965324874,0.008584902903253967
15,48,RONCHETTO SUL NAVIGLIO,14560,188870.6034,12.9718821,0.07708981566159386,0.08841443990915626,0.07708981566159386
16,43,TIBALDI,11746,786214.3072,66.93464219,0.014939946897979828,0.017134650354540915,0.014939946897979828
17,73,CASCINA TRIULZA - EXPO,849,1729126.898,2036.6630129999999,0.0004909992441746169,0.0005631278632197506,0.0004909992441746169
18,76,QUARTO OGGIARO,30655,2778263.745,90.63003573,0.011033869644366683,0.012654763748816982,0.011033869644366683
19,80,AFFORI,25661,2070893.649,80.70198544,0.012391268867134373,0.014211567212207803,0.012391268867134373
20,19,PADOVA,37857,2061945.4980000001,54.46669039,0.018359845125256555,0.021056937413032717,0.018359845125256555
21,37,EX OM - MORIVIONE,7910,817976.685,103.4104532,0.009670202274775105,0.011090771337237007,0.009670202274775105
22,17,ADRIANO,17700,2431560.109,137.3762773,0.007279277174554108,0.0083486152977318,0.007279277174554108
23,78,FARINI,3978,1010230.89,253.9544721,0.003937713684442969,0.0045161704817267305,0.003937713684442969
24,28,UMBRIA - MOLISE,23171,1192396.729,51.46073667,0.019432290810988965,0.022286927183059645,0.019432290810988965
25,32,TRIULZO SUPERIORE,1710,1395022.0259999998,815.8023544,0.0012257870973572717,0.001405857294256148,0.0012257870973572717
26,25,CORSICA,19814,1081329.703,54.57402355,0.018323735993775805,0.021015523789091894,0.018323735993775805
27,22,CITTA STUDI,36482,2207487.437,60.50894789,0.016526481369053426,0.018954249421586362,0.016526481369053426
28,57,SELINUNTE,27040,984925.5368,36.42476098,0.027453852082922253,0.03148686936696987,0.027453852082922253
29,31,PARCO MONLUE - PONTE LAMBRO,5350,2925814.518,546.8812184,0.001828550636783736,0.0020971678166472663,0.001828550636783736
30,14,NIGUARDA - CA GRANDA,36666,4251281.953,115.94616140000001,0.008624692599870004,0.009891674523565533,0.008624692599870004
31,42,STADERA,30132,3232237.349,107.26926019999999,0.009322335195873638,0.010691801996346102,0.009322335195873638
32,4,GUASTALLA,15248,1548020.7419999999,101.5228713,0.009849997216639364,0.01129697846001973,0.009849997216639364
33,2,BRERA,18585,1637395.233,88.10305263,0.011350344513919811,0.013017729311735083,0.011350344513919811
34,1,DUOMO,16982,2341704.0730000003,137.8933031,0.007251983799235591,0.008317312479437226,0.007251983799235591
35,36,SCALO ROMANA,12864,1736727.983,135.0068395,0.007407032146611068,0.008495137691164547,0.007407032146611068
36,7,MAGENTA - S. VITTORE,17974,1390146.88,77.34209856,0.012929568996335123,0.014828944540430185,0.012929568996335123
37,81,BOVISASCA,7075,1576826.437,222.8729946,0.0044868603379459955,0.005145987707008364,0.0044868603379459955
38,35,LODI - CORVETTO,36489,3639092.519,99.73122089,0.010026950348057364,0.011499926305597317,0.010026950348057364
39,23,LAMBRATE,11561,3096861.87,267.8714531,0.003733133890146673,0.004281537569788808,0.003733133890146673
40,46,BARONA,16939,2006324.59,118.44409879999999,0.008442801371437112,0.009683063166173294,0.008442801371437112
41,83,BRUZZANO,12935,1667691.294,128.92858859999998,0.007756231651827523,0.008895635194048693,0.007756231651827523
42,64,TRENNO,4098,489710.5582,119.4998922,0.008368208386322677,0.009597512345439778,0.008368208386322677
43,41,GRATOSOGLIO - TICINELLO,18775,3312818.318,176.4483791,0.0056673799157615015,0.006499927606573478,0.0056673799157615015
44,63,FIGINO,2297,1424713.8530000001,620.2498272999999,0.0016122535729987037,0.0018490963485236745,0.0016122535729987037
45,62,QUINTO ROMANO,4773,1645859.7719999999,344.82710489999994,0.0029000040472463777,0.003326019544489771,0.0029000040472463777
46,87,PARCO AGRICOLO SUD,319,5844580.116,18321.567759999998,5.458048203098667e-05,6.25984471142745e-05,5.458048203098667e-05
